Empid,Name,email,phone_number,designation,dateofBirth,department
I001,Anurag,anuraginguva@gmail.com,1234567,Trainee,2002-08-21,Btp
I002,Himanshu,himanshu@gmail.com,2345567,Trainee,2000-08-22,Btp
I003,Ashwani,ashwani@gmail.com,3455678,Trainee,2000-08-23,ABAP
I004,Ayush,ayush@gmail.com,2345567,Trainee,2000-08-24,Btp
I005,Vaibhav,Vaibhav@gmail.com,463721,Trainee,2000-08-25,ABAP
I006,Rishab,Rishab@gmail.com,467282,Trainee,2000-08-26,Btp
I007,Vanshaj,Vanshaj@gmail.com,5637291,Trainee,2000-08-27,Fiori
I008,Kapil,Kapil@gmail.com,3737373,Trainee,2000-08-28,Btp
I009,Vedant,Vedant@gmail.com,7272819,Trainee,2000-08-29,Btp
I010,Deepanshu,Deepanshu@gmail.com,3737281,Trainee,2000-08-30,Btp
